content,score,at
"game apaan nih masa lose sampe 7X gw roam nya suport terus pliss monton hapus Hero anjela,sama floryn pliss itu Hero gak guna bgt sumpah",1,2026-07-26 14:52:23
gem nya sangat seru dan menarik setiap saat ini,5,2026-07-26 14:50:44
game apa ini login pakai akun google yang sama aja ngga bisa alasannya (akun tidak terkait dengan game) padahal kemaren segala proteksi keamanan akun di aktifkan,1,2026-07-26 14:50:27
game taiiii maen nge lag muluu.. pakai WiFi atau data juga sama aja,1,2026-07-26 14:50:21
"game gila, ngasi time tidak setara dengan musuh",1,2026-07-26 14:49:56
sampah,1,2026-07-26 14:48:14
malas main game ini dapat Drake sistem mlu,5,2026-07-26 14:47:30
game pembuatt stresssssss bukann pembuat gilaaaaaa kalo ga timnya aneh sinyalnya full merah,1,2026-07-26 14:45:01
terlalu oferpoworrrrrrrrr,5,2026-07-26 14:43:34
bagus tapi kesal banyak dark sistem,5,2026-07-26 14:42:57
"game apa ini, matchmakingnya ga seimbang saya solo ketemu partyan terus, belum lagi tim yg ga jelas dan jaringan yg merah ketika akan menang alhasil kekombek terus 👎🏼cuih",1,2026-07-26 14:42:05
game dongo matchmaking tidak jelas,1,2026-07-26 14:41:34
"hari hari masalah di jaringan, padahal bagus aja jaringan gw, skill tiba-tiba keluar sendiri,delay, masih mending jaringan gw bemasalah, dan lagi untuk system pemilihan lane. Padahal match terbanyak mid tapi tetep aja yang dipilih pasti bukan di mid. disuruh ganti jaringan? jaringan bagus saya sudah bagus banget tetap aja ngelag main game game lain lancar lancar aja padahal better MLA or MCGG",1,2026-07-26 14:41:03
game yang cuma bisa bikin stres doang sekali kala ya kalah terus dapat MVP kalah doang gw,1,2026-07-26 14:40:38
kenapa jaringan ku lag tiap main? dalam satu match mau sampai 4 kali lag. apa tanggapan Klian?,1,2026-07-26 14:40:25
tolong kurang i map baru yang menambah kegampangan ini game,3,2026-07-26 14:39:44
montoon bang--- selalu ngasih tim sampah mentok epic dikasih lawan mantan immortal,1,2026-07-26 14:39:23
bodo x dapat masuk game,1,2026-07-26 14:38:43
game hebad,5,2026-07-26 14:37:48
game kont setiap main ls bnyk epic pantesan di plagiat orang game sebelah lebih adil,1,2026-07-26 14:37:48
busuk game busuk main solo dapet team kyak monyet semua,1,2026-07-26 14:36:19
"suka tiba-tiba ngelag padahal ping hijau terus main mode rank musuh tim jago sedangkan tim sendiri hancur, di report cuma pengurangan kredit skor padahal itu yg sy report melakukan kesalahan fatal dan bukan cuma satu kadang 2 orang yg melakukan feed dgn sengaja",1,2026-07-26 14:36:12
game hama anj,1,2026-07-26 14:32:19
satu kata aja muntun kalo ngasih tim yang bener,5,2026-07-26 14:31:56
"game paling gak adil. katanya udah diperbaiki sistem draftnya nyatanya 0 gak berubah dari dulu, game dengan sistem terburuk sepanjang masa, ""jangan pernah download game ini"", ayo bareng2 kasih bintang 1",1,2026-07-26 14:31:46
kasih kalah teruss nih game kasih lawan gak ngotak jir,1,2026-07-26 14:31:03
"sinyal gk stabil padahal ping hijau ditambah matchmaking tidak seimbang udah sering kali saya kirim perbandingan masih saja begitu, pikirkan kebahagiaan para player saya anaknya yg punya play store saya suruh hapus ini game nanti",1,2026-07-26 14:31:00
bagus sih,5,2026-07-26 14:29:57
Bagus Game a.,5,2026-07-26 14:29:47
banyak pemain yg gk jelas dan menyebabkan kan lag,1,2026-07-26 14:29:35
game jeleq mnding main babybus,1,2026-07-26 14:29:29
"akun saya tiba-tiba hilang, padahal sore tanggal 24 juli 2026 masih maen, ketika login lagi malam nya malah di suruh bikin akun baru, saya udah 3 akun hilang semua ntah gara-gara apa, sedangkan saya tidak pernah memakai cheat, dan transaksi legal, tolong kerjasamanya ini akun saya yang terakhir malah ikut ilang, MOONTON MAKIN LAMA MAKIN GAK JELAS, MAU PEMULIHAN AKUN AJA HARUS TAU KAPAN PERTAMA MENDOWNLOAD MLBB SEDANGKAN AKUN GUA DI KASIH SAMA TEMEN DAN AKUN GOOGLE NYA JUGA SUDAH DI HAPUS.",1,2026-07-26 14:29:22
"muntun mw tanya disuru sena nanya, kenapa recal guin kof(king of fighter) nungging?",1,2026-07-26 14:28:55
"ngelaggg sinyallll nya tooqqqqqqq,",5,2026-07-26 14:28:55
game gk jelas tidak adil banyak dark sistem sengaja monton gila,1,2026-07-26 14:25:45
saya belajar dari kekalahan dan saya bisa mencapai impian saya,5,2026-07-26 14:24:53
"nggak jelas sering dapat teman drak sistem pokoknya nggak jelas main sendiri kalah gara gara teman drak sistem nggak jelas memegang padahal renk masih mythic Mawi tapi dapat musuh mythic honor kadang imo emang ga jelas coba tuh kasih teman sama musuh yang setara renk gitu nah gimana sih ini hadehhhh ,mana time yang di kasihh to*** semua lagiii emang g****",1,2026-07-26 14:24:34
terlalu banyak anak' binatang yang bermain game ini jadi saya selalu emosi tolong Ben anak' binatang dari game ini🙏,2,2026-07-26 14:23:55
mantap,4,2026-07-26 14:23:51
"knp setiap malam mau main tidak bisa login, sedangkan waktu siang pas jam kerja malah bsa. sumpah kesel banget, tolong dong ini harus di gimanain biar bsa main malem hari, jaringan lancar banget bsa di pake buat ap saja tpi buat login doang g bsa.",3,2026-07-26 14:23:21
"game gila kalah terus, apa coba Miya roam 😡😡",1,2026-07-26 14:22:12
keren,4,2026-07-26 14:21:45
"game apa ini, temen dsek system semua, sekali nya di tim musuh jago banget, sekali dapat tim jago malah ada yang afk, sumpah gajelas banget",1,2026-07-26 14:21:03
boloe gadue utek kabeh,1,2026-07-26 14:20:15
"game seru, bisa buat nengin pikiran",5,2026-07-26 14:18:04
"tolong monton lu kasi temen epick Mulu , sdngkan musuh dah di legend semua . lu bisa kasi game yg se imbang ga babi . cape 3 game ktmu darksistem Mulu .",1,2026-07-26 14:17:46
sangat seru!!,5,2026-07-26 14:16:31
game lol gajelas ngelag,1,2026-07-26 14:16:16
"assalamualaikum, kalo dijawab aku kasih bintang 5",1,2026-07-26 14:14:39
"Gw kurangi 1 bintang, game moba terencana system, yg mana draftpick hero diatur system sehingga yg sering jam main akan digabung dgn pemula yg hanya sekedar main, untuk naik tingkat rank harus stress karena 76%kalah menangnya 24%. Gw yakin semakin banyak yg pindah game. Karena game ini bukan moba player tapi moba system. Darkpicksystem so bad. Gameyg akan bikin stress buat solo player. Komentar ke pemain yg jelek skillnya aja kenak ban 2 jam 4 pertandingan. Jadi komentar sekarang dibatasi ya.",1,2026-07-26 14:13:45
mantap,5,2026-07-26 14:12:52
game terbaik,5,2026-07-26 14:12:23
tolong bersikan draksistem plis saya Uda muak sampai hp saya pecahin Karna tim draksistem semua tolong berikan petunjuk,1,2026-07-26 14:11:47
"GG nih game, gak akan pernah mati, gak kayak game sebelah yang isinya cuma event tapi sistem gamenya gak di benerin",5,2026-07-26 14:11:45
Menurut saya game ya sangat bagus dan cukup menghibur untuk waktu luwang ku tapik sulit untuk naik ki reng,2,2026-07-26 14:11:23
gem tolol,1,2026-07-26 14:10:36
baguss banget tapi kurang nya kalau misal waktu main ada urusan penting bgt tapi Gabole afk dikit pun itu bikin ribet banget sumpah bikin suatu mode agar kita bisa afk dengan aman dong kek waktu kita mengaktifkan mode afk ada bot (AI) yang memainkan player kita dan saat kita mematikan mode tersebut bot (AI) akan hilang itu aja sih saran ku :),5,2026-07-26 14:09:37
game jelek,1,2026-07-26 14:08:00
tolong masalah jaringan di perbaiki ....masak wifiku bagus ping naik turun,1,2026-07-26 14:07:47
seru banget mobil legenda bang bang gamenya lumayan sulit tapi seru banget,5,2026-07-26 14:06:31
game bodoh. ngasi musuh ga seimbang. Nemu tim bodoh Mulu. emang montoon ga layak di kasi bintang 5,1,2026-07-26 14:06:21
wah moonton kapan aku ws panjang lagii,1,2026-07-26 14:04:56
ketemu beban tim terus Meding hapus aja ini game di hp kalian,1,2026-07-26 14:04:13
syah sngat suka,5,2026-07-26 14:03:23
game game beta,1,2026-07-26 14:03:05
"gajelas match making Nya selalu di kasih dari system, minimal benerin dulu system match sebelum event, kasian player solo kaya saya",1,2026-07-26 14:02:27
"game ramah, baik",5,2026-07-26 14:02:06
gamenya bagus cuma timnya aja yang ga pernah bagus,5,2026-07-26 14:00:28
Hirara Hero ampas gw jadinya kena report,1,2026-07-26 13:59:03
"game buat emosi,saya diberi musuh jago tim saya malah gk bisa main",1,2026-07-26 13:56:14
"kalau main solo sangat berat sekali naik bintangnyaa,,banyak banget player anomalinya,,memang harus main party baru bisa cepat naik bintang,,minimal trio,,",5,2026-07-26 13:56:03
game nya seru banget jadi ketagihannnnnn,5,2026-07-26 13:53:58
server nya ga jelas tiba² ngelag,1,2026-07-26 13:53:03
jangan donlod game ini game ny bikin orng gila soalnya tim sama musuhnya gak setara,1,2026-07-26 13:51:46
kalian masih di epik Nemu team GK jelas dan jika di legend Nemu team dark sistem mendingan jangan main ini game,1,2026-07-26 13:51:26
sangat seru dan membuat orang sangat tenang,5,2026-07-26 13:50:26
moonton game tolol dikasih nya musuh jago Mulu sedangkan team gua dikasih yang dark system bloon Udah uninstall aja 👿👿👿,1,2026-07-26 13:50:22
GAME SAMPAAHH!! matchmaking gak jelass!,1,2026-07-26 13:49:48
"selama saya bermain game ini saya jujur merasa tidak nyaman akibat banyak nya player yg toxic,suka berkata kasar sampai ke orang tua dan martabat keluarga perkara 1 tombol retribusi saya tau ini tidak akan di gubris dan di jawab",1,2026-07-26 13:49:47
kenapa disarankan hapus ML: 1. server sering down 2. banyak player joki ga bisa main 3. moonton kikir,1,2026-07-26 13:48:52
"min tolong game mobile legend ini , jagan terlalu berat karena bagi hp yang ram 3 suka patah-patah dan leg",3,2026-07-26 13:47:50
"ini kok pas hp mau login ulang ketiga didalam game malah gabisa masuk lagi kegame? perasaan kemaren kemaren kgk gini, benerin dong moonton soal ini, gaenak afk terus kredit score ngurang",5,2026-07-26 13:47:45
game ga jelas lag terus mending ff,1,2026-07-26 13:45:47
bagus tapi susah,5,2026-07-26 13:45:37
game banyak bot ga adil,1,2026-07-26 13:45:28
seru banget tapi aku pengen skin bagus gratis dong moonton,5,2026-07-26 13:43:29
woi mending game ini gausa di download karna. banyak bug yg belum di perbaiki dari dulu sampai sekarang seperti bug jaringan yg sangat merugikan player sehingga mengurangi kredit skor.karna moonton lebih fokus ke citer atau pengguna skin yg tidak di punya jadi jangan download dulu tunggu sampai di perbaiki baru di download,5,2026-07-26 13:42:28
Game play not fair.. too much bot and feeder ini this game.. not recommend,1,2026-07-26 13:42:12
"kocak game kebanyakan event bukannya di benerin matchmaking lu, kebanyakan bot di tim ngasi lawan yg rank nya jauh aneh bet lu moonton game gajelas",1,2026-07-26 13:40:37
kenapa aku kasih kalah Mulu padahal udah dukung,5,2026-07-26 13:39:59
game makin rusak di kasih tim bot² giliran lawanya hebat²,1,2026-07-26 13:39:05
"bagusin dikit Napa monton bugnya itu ,,ngelag lah ,tim kerenlah ,ini itulah......salah satu yg bikin aneh itu kyk ngelag KLO udah menang sekali lanjut matchmaking,,, behh,, jaringannya lgsung kumat lgi kek di setting KLO pertandingan ini harus kalah ....kan jadi kek "" woy ..... ,....,...ini jaringan gua atau gamenya sih yg lgi kumat ....terimakasih kasih telah mendengarkan keluhan player...sekian.",1,2026-07-26 13:38:20
mau sampai kapan mobile legend memelihara player maphack only apa? nga kasihan player yang kalah terus menerus solusinya apa? dibanned Kah di beri peringatan ? nga juga tapi player tersebut tetap main ml,4,2026-07-26 13:38:08
jangan main ini game game soalnya gak adil pembagian pemain nya yang musuh jago sedangkan tim sendiri bott males banget ini game,1,2026-07-26 13:37:40
"kurangin bot mlnya,bot ml bikin match ga seimbang",1,2026-07-26 13:35:32
moonton tolong beri saya kemenangan saya sudah pake hero power tapi tim nya beban sampe saya epic bintang nol ya walau saya ga terlalu jago/beban tapi sudah berusaha jadi tolong kasih saya tim yang bagus,4,2026-07-26 13:35:16
bagus,5,2026-07-26 13:35:15
"sistemnya jelek, timnya di ksik yang aneh banget, giliran menang pasti match berikutnya kalah, dan dapat tim yang aneh seperti bot mainnya",1,2026-07-26 13:33:30
sangat memuaskan,5,2026-07-26 13:33:26
good sangat kak,5,2026-07-26 13:32:57
"suka lag tiba2 pdhl sinyal hijau, matchnya juga gajelas lama. isinya bot semua",1,2026-07-26 13:31:50
Saran gw yang Mabar 5 boleh tuh rank beda nah kalo solo glory ktmu glory Mabar lima baru perbedaan jauh bebas KLO solo setara lah minimal x imo ktmu x imo lah ini dark system smua g ada benr dari dlu game tolol rating 1 smua aja woi g guna ni game buat stres doang,1,2026-07-26 13:31:40
game dongo monton bngst gua main 7 kali sekali doang menang nya bangke stres gua lama lama,1,2026-07-26 13:31:39
gem bikin sttess,1,2026-07-26 13:31:33
sehat sehat dah player nya😍,5,2026-07-26 13:31:09
game jelek,1,2026-07-26 13:28:30
"MATCHMAKINGNYA JELEK BANGET. jaringannya jelek bangetttt, bahkan match gabisa masuk. gabisa matchmaking, jadi kredit skorku turun terus, padahal kalo dipake main sosmed aman lancar jaya. BENERIN LAH! MANA PAS MAIN TEAMNYA JUGA GABENER, TEAMKY WR NYA UNDER 50 SEMUA, MUSUH 60+. MASA SOLO KETEMU TRIO DUO? YANG BENER AJAAAA LAAHHHH!!!",1,2026-07-26 13:27:33
sangat seru,5,2026-07-26 13:25:39
monton ini ada masukan saya bernama pandi ingin laporan saya ls terus dan saya ketemu drak sistem mulu dan saya sudah cape dan setres mohon untuk ws nya nama akun panxzdi tolong ws ya geme ini bagus tetapi saya mengalami ls Mulu tolong untuk ws terus ya nama akun panxzdi,4,2026-07-26 13:22:59
game lol moonton ga guna ngasih tim kek lolot,1,2026-07-26 13:22:10
"game gajelas, draf gaadil musuh pro giliran tim dikasih bot semua",1,2026-07-26 13:21:34
game bagus,5,2026-07-26 13:20:22
"game burik,gk setara tim ama lawannya,jaringan ngeleg,kikir",5,2026-07-26 13:19:55
bagus bos ini jasjosjis,5,2026-07-26 13:18:48
game sampah,1,2026-07-26 13:18:45
MOONTON jangan kasih season lah udah capek ² malah turun aku dari kelas 1 sampai kelas 3 loh pus rank mikir lu yang main sama bot terus musuh lu jago gimana rasanya kesel kalo season sekali lagi aku pensiun aku sudah pensiun FF sekarang ML.,3,2026-07-26 13:18:02
game tai,1,2026-07-26 13:14:34
"game ampas banyak lag, dikasih tim bot terus (musuh jago+player semua)",1,2026-07-26 13:14:20
seru ml nya,5,2026-07-26 13:13:49
tim kayak peli musuh spek kairi ga rekomen buat kakek-kakek main game kek gini,1,2026-07-26 13:13:04
saya suka ml,5,2026-07-26 13:11:56
populersihh tapi susah maenin nyahh,5,2026-07-26 13:11:34
"Moonton jahat nggak di kasih musuh yang bot selama 1000 kali daritadi dark system mulu dan moonton nggak kasih aku kesempatan menang dari tadi kalah trus kalo sampai moonton nggak kasih musuh yang bot, saya akan report mobile legends dan tidak ada kesempatan lagi untuk moonton dan akun moonton akan aku hack",1,2026-07-26 13:10:49
"matchmaking ga sepadan, padahal dpt tim ga bener malah di report. ga adil banget sumpah. mending ga usah pengajuan banding kalo ga menerima alasan. paling yang di terima cuma masalah gangguan sinyal doang!!",3,2026-07-26 13:10:27
"game bikin emosi, masa dapet tim gitu gitu melulu, bot banget,gimana sih moonton masa kasih gua lostreak terus, gak asik",2,2026-07-26 13:10:23
banyak kalahnya....kalau kita gak belain top up susah naiknya.sistem sudah di seting siapa yg sering top up pasti sering menang mudah naik rank dan sebaliknya....payah lingkungan game yg membosankan....,1,2026-07-26 13:09:50
game apaan ls trus gj,1,2026-07-26 13:09:41
solo player tidak akan berkembang main game ini,1,2026-07-26 13:08:29
Niat gak sih ngasih tim nya gj semua udah banyak drak sistem sama yang pake cheat gak ada yang diban akun nya game rusak kayak negara konoha,1,2026-07-26 13:08:16
moonton pilih kasih tim sendiri bot tim musuh di kasih yang jago semua jaringan bagus pun tetap lag tim yang tidak seimbang,1,2026-07-26 13:07:29
game penambah stress y,5,2026-07-26 13:07:15
"entah kenapa setiap war nih pake skill malah delay padahal sinyal aman gk gerak, bikin war jadi kalah sama skil gk tepat.. pliss lah bikin malu itu saya sudah mengeluh puluhan kali season ini tentang hal ini khususnya, kualitas pembagian tim sangat tidak adil, dibanding season sebelumnya saya rasa ini yang paling parah, bukannya saya tidak bisa bermain dengan benar, tapi meta sekarang sangat menuntut kerja sama tim dibanding season sebelumnya, mohon perhatiannya agar sistem matchmaking lebih te",1,2026-07-26 13:06:42
9/10 ini gem bagus banget bisa melatih otak dan kecerdasan terbukti dari profesor zilong,4,2026-07-26 13:06:29
gim ini bagus cuma satu tolong perbaiki bug ban orang yg chit dan kalau bisa jangan tiba-tiba server nya leg,5,2026-07-26 13:05:44
monton buat game tapi kasih tim drak sistem ngotak. lu aja kalo di suruh main game mu sendiri ketemu drak sistem juga stres cok. buat game nya lain kali sistem tim nya di benerin tmasak groly nabrak tim epic,1,2026-07-26 13:05:26
geme nya jelek masak gw di kasih tim yang jelek terus sampe kalah 7x saran ku jangan main geme ini soal nya bikin stres,5,2026-07-26 13:05:20
"game nia bagus hero nia juga dan semua efek nia bagus sih di lihat lihat gan di main,tapi masih kurang di jarigan dan kalo kita main di mode rank,classic selalu bertemu player troll drak sistem dan lawan pun sama kayak yang kau bilang,aku mohon di balas notes aku biar aku puas karena aku kalo main selalu di match 1 atau 3 selalu kala atau win streak.Dan terima kasih untuk balasan nya.mohon di balas oleh pihak berwajip moonton*.",5,2026-07-26 13:04:39
game yg sangat bagus.aku kasih bintang 5 deh,5,2026-07-26 13:04:09
game nya bagus udh imo gw monton,5,2026-07-26 13:01:59
game ny bagus bisa maber,5,2026-07-26 13:01:45
asal main kalah terus tim ny kyk myt,1,2026-07-26 13:01:33
biar gak ngeleg pas main dan login,5,2026-07-26 13:01:25
montoon plss buff argus😭😭😭,1,2026-07-26 12:59:01
"coba bagi tim yang bener dikit, masa musuh glory imo, tim gua legend mawi. main game bukannya ngilangin stress malah bkin nambah stress. main rank kebanyakan pada nge troll. buat player tukang troll di rank, please lah mikirin orang lain, jangan mikirin kesenangan lu aja. gua main 5 game cuma nambah 2bintang gara' setim sm player kek kalian.",1,2026-07-26 12:58:59
game taek,5,2026-07-26 12:57:50
"hai moonton ml, gue liat para ml keberatan soal jaringan tim bot atau apalah saran gue yang login ml hapusin orang yang gbsa main ml nyusahin orang ml lainnya",2,2026-07-26 12:57:17
hapus draksistem,1,2026-07-26 12:57:16
game yang sangat bagus berperang,5,2026-07-26 12:55:53
kebanyakan di kasih tim g jelas dari glory 55 turun ke honor 43,1,2026-07-26 12:54:57
lumayan lah,4,2026-07-26 12:54:57
game stressss,1,2026-07-26 12:53:09
gem kikir dapet tim lol semua musuh mantan imo kont,1,2026-07-26 12:52:37
Cuih,1,2026-07-26 12:52:01
iloveu mobile legends,5,2026-07-26 12:50:57
gamenya seru tapi losetreak terus!! timnya beban semua😡 dan musuh jago banget sumpah bikin aku gila plis moonton winstrek kin plis😢,5,2026-07-26 12:49:47
"tempik tempik, ga guna hapus aja ni game hama",1,2026-07-26 12:49:45
"kalau mau rame game nya entengin biar semua semangat main, kurangi lag",1,2026-07-26 12:49:38
malah dikasih dark sistem gua montoon sat,1,2026-07-26 12:47:51
"matching yg g adil bner, sinyal gua bgus tapi ga gerak ga ngotak bner",2,2026-07-26 12:43:57
gokil dapat tim full sky,5,2026-07-26 12:42:21
"Monton tolong lah kasih tim yang bagus,kalah Mulu gara-gara dapat tim tolol",1,2026-07-26 12:41:15
"game sampa udah ngabisin ruang banyak tapi jaringannya ngelag trus merah trus pake wifi sama Kouta sma aja,udah team nya gblok semua ketemunya.",1,2026-07-26 12:41:07
sering leg akhir 2 ini,4,2026-07-26 12:41:00
Good jop good ning,5,2026-07-26 12:39:47
"sistem gajelas, tim pada ga bisa main, musuh imo 10000",1,2026-07-26 12:39:47
di game ga adil banget dari Rank ke rank ga jelas bngt masa dah 5 match Nemu legend Mawi terus cape cukk gw sama temen gw dah glory 90+ masa masih ketemu rank kayak gitu game apa dah kalo ngasih tim kadang waras kadang kgk pusing orang orang yg ketemu kayak gini TOLONG BANGET DI BENERIN PEMBAGIAN RANK LEGEND SAMA LEGEND BUKAN LEGEND SAMA GLORY ANEHH,1,2026-07-26 12:39:43
"setiap hari selalu saja satu tim sama bot sementara musuh nya jago jago, saya sangat kurang puas dengan game ini dari matchmaking nya yg sangat tidak adil akun saya selalu saja kalah 8 kali berturut turut karena 1 tim sama computer sementara menang hanya sekali saja saya mohon untuk perbaiki matchmaking nya",1,2026-07-26 12:39:15
"tim poke, ping merah ketika hidup ping hijau kalo mati 😹",1,2026-07-26 12:39:00
benerin match makin dlu lah jangan sibuk sama skin trus,3,2026-07-26 12:38:39
game rusak,1,2026-07-26 12:38:23
Sebagai Solo Player Game ini sangat buruk karena banyak tim ampas. SEGERA PERBAIKI JIKA TIDAK INGIN GAME INI SEPI!!! 👎,1,2026-07-26 12:37:04
game nya bikin emosi punya temen bego tim musuh jagoo jangan download game ini game nya rusak bikin mata sakit dan bikin gak waras,1,2026-07-26 12:37:03
B aja tapi seru🤭🤭,4,2026-07-26 12:36:24
game nya asik bisa dapat temen mabar,4,2026-07-26 12:36:05
Hay gamemku tercintah jika ada yang ngelaporin aku terus aku pakek Miya itu sepupu aku yang yang mainin bukan aku jadi maaf kalo jadi noob 💜🥰 tapi tolong yang chit bisa cepat di tangani ya🥰,5,2026-07-26 12:35:40
monton kok aku gak bisa mode offline yang ada extreme nya kenapa ya😭😭😭😭,1,2026-07-26 12:34:04
"banyak yang omong kotor, Burik",1,2026-07-26 12:32:25
sangat seru,5,2026-07-26 12:31:20
montoon aku beri bintang 5 soalnya aku suka mobil legend terus 1 kalau bisa hiro nya gratis dan tim nya mau dia ajak kerja sama itu saran dari saya makasih),5,2026-07-26 12:31:03
bagus ramah baik,5,2026-07-26 12:30:02
padagabisamain semua tim ya,1,2026-07-26 12:28:22
game apa ini masak epic di masukin ke legends yg bener aja,1,2026-07-26 12:27:45
tolong di perbaiki lagi ya,5,2026-07-26 12:27:24
"singkat ajah lah ya, sukakkk bangettt samau update nyaaa",5,2026-07-26 12:27:19
terima kasih moontoon sudah merayakan ulang tahunnya di ml,5,2026-07-26 12:27:17
gem Ny kaya anji gw tim Ny di kasih draksistem mulu walaupun udah glory juga,2,2026-07-26 12:26:45
woy kenapa gua ga bisa menghubungkan ulang hilang terus kredit gua cape gua sama game ini tidak pernah berkembang yang ada makin menurun,1,2026-07-26 12:23:31
bagus bisa di coba untuk menghilang kan stress😊☺,5,2026-07-26 12:22:45
game ampas,1,2026-07-26 12:20:47
menghilang stres😄,5,2026-07-26 12:20:47
jujur kadang ngeselin kadang juga bikin bahagia. tapi thank you ya monton karna game ini gua ga sepian lagi dan bikin gua ga merasa sendiri lagi 😙😗,5,2026-07-26 12:19:38
JANGAN ADA YANG INSTAL GAME INI GAME INI BANYAK PLAYER BEBAN,1,2026-07-26 12:19:12
sebelum update gamenya udah bagus bisa main walau jaringan nya jelek abis ku update ke versi terbaru malah jelekkkk banget gak bisa main kalau jaringannya gak seimbang sering keluar dari game pas main,1,2026-07-26 12:18:42
game grafik doang megah tapi sistem nya masa gw imo ketemu tim honor mawi dark sistem utusan moonton,1,2026-07-26 12:18:16
sering dikasi sama monton yg ngentrol temen nya tapi gpp lah mudahan mulai dari besok dapat temen yg jago amin kalian juga yg main ml mudahan dapat temen yg jago amin🤲,4,2026-07-26 12:17:14
pas aku lagi main tiba-tiba leq padahal jaringan bagus,1,2026-07-26 12:16:37
saya dulu suka ff tapi karena ff makin burik aku ganti ke ml😛,5,2026-07-26 12:16:03
monton pileg dongo,1,2026-07-26 12:15:39
game ini sangat seru,5,2026-07-26 12:15:03
gemes gak masuk akal untuk plyer solo,1,2026-07-26 12:14:56
👍,5,2026-07-26 12:11:58
Uninstall,1,2026-07-26 12:10:17
geme apalah gua di kasi tim tolol terus ayo lah montton kasi guq winstrek,1,2026-07-26 12:10:05
"oi moonton lu kasih tim serius dikit lah gw dari honor bintang 37 lose streak ke mawi bintang 2, kalo musuhnya jago + timnya juga jago masih oke lah, ini udh timnya di honor kaya warior trus musuhnya imortal bintang 370+ ga adil cok!!",2,2026-07-26 12:09:34
"cheater masih tergolong banyak dan terus ada player solo, player f2p dan player pemula terus mendapatkan tekanan",1,2026-07-26 12:08:59
"sialan game ga ramah lingkungan awal rank si bagus ya cuman semakin tinggi rank nya gw dikasih ream dark system mulu bayangin aja posisi gw udh menang lane tapi jungler nya dongo gamau rotasi,terus gw main lose streak mulu capek game stresss",1,2026-07-26 12:06:50
game terbaik muntun banyak sistem gelapnya,5,2026-07-26 12:05:49
tolong bedakan min orang yang baru main sama player lama dan seimbang antara 2 tim,1,2026-07-26 12:04:56
"hmm ini Mimin yang balesin komentar soal jaringan ada, tapi soal matchmaking kok ga pernah adil ya, super sus aja sistem matchmaking nya aja adil (contoh super sus noh)",1,2026-07-26 12:04:02
game nya seru saya aja sampai winstreak 100 kali,1,2026-07-26 12:03:43
main nya oke banget sama Hero nya jago banget saya suka,5,2026-07-26 12:01:18
main 5 jam gak naik gk turun,1,2026-07-26 12:00:56
gamenya gajelas masa cuman bisa lawna AI,2,2026-07-26 12:00:06
"makasih buat montoon yang memberikan saya team yang ngetroll,",5,2026-07-26 11:59:45
suka sama game ini ramah sekali ya bun sampe di saranin game pou sama di katain ayam baik sakali player ml🥰,5,2026-07-26 11:58:44
"game rusak, dikasih dark sistem mulu padahal maen dh bener malah dapat temen gajelas",1,2026-07-26 11:58:21
sumpah aku kayak kesatet kalo main ml kayak menang mau main lagi kalah juga mau main lagi tapi ml itu game terbaik menurut aku.,5,2026-07-26 11:56:46
"game buat orang stress,sistem matcmaking rosak.satu bintang lagi ehh dia bagi losetreak",1,2026-07-26 11:56:20
"game GK jelas ngebug Mulu heran gw, walupun game nya seru tapi banyak bug sama banyak draksistem",3,2026-07-26 11:55:35
soal grafik ok lahh tapi musuhnya pas rank gak ngotak semua asemmm,1,2026-07-26 11:55:35
cpe banyak dark sistem nya 🗿,1,2026-07-26 11:54:07
"sistem match ga karuan tim musuh & tim tidak seimbang, game aneh",1,2026-07-26 11:54:03
server jelek ping ga stabil engine lawas,1,2026-07-26 11:53:57
ok mantap,5,2026-07-26 11:53:19
sepertinya game ini kerja sama dengan akun joki... banyak pemain yang tidak bisa main sudah ranking tinggi dan dari pengembang game tidak ada tindakan anti sipasi permainan yang sehat dan adil sesuai kemampuan apalagi tim random makin parah sistemnya contoh 10 kali main tim random 6 sampai 7 kali mengalami kekalahan apakah memang di buat sistem seperti itu..? jadi seperti menang kalah sudah di tentukan sistem,1,2026-07-26 11:53:18
bagus e pooooll minta diamon kali ton monton,5,2026-07-26 11:51:51
min coba skinnya di gatisin 5 menit aja,1,2026-07-26 11:50:30
singkat saja sinyal nya tiba tiba jelek tapi pas main game lain lancar,1,2026-07-26 11:47:34
"saya melihat bocoran skin kadita terbaru, saya kecewa karna sudah lama user kadita menunggunya ujung-ujungnya jadi skin elite, tolong moonton Naikkanlah tier kadita elite ini menjadi epic pun gapapa.",1,2026-07-26 11:47:28
"apa coba kalah 4 kali,pantas rating 1",1,2026-07-26 11:47:25
plis lah kalo ngasih tim jangan komputer males banget kalo jago gapapa . dibuat kalah Mulu mending gua hapus aja ni game,1,2026-07-26 11:46:50
saya sangat suka dengan game ini saya sudah mencapai tingkat yang lebih besar,5,2026-07-26 11:46:16
waktu dalam game sinyal nya merah mulu terus padahal jaringan udh pake wifi data ttp ajah leg tolong perbiki,1,2026-07-26 11:45:46
